FP_type,split_type,type,num_of_compounds,precision,se,sp,acc,mcc,auc_prc,auc_roc,seed
ECFP4,random,tr,2080,0.9793351302785265,0.9356223175965666,0.9538152610441767,0.9410703547805171,0.8658929058554701,0.9957343327047357,0.9899684575210714,0
ECFP4,random,va,2080,0.9416058394160584,0.9020979020979021,0.8769230769230769,0.8942307692307693,0.7615253983700015,0.9637059497788197,0.9464228079612695,0
ECFP4,random,te,2080,0.95,0.8926174496644296,0.8833333333333333,0.8899521531100478,0.7464734606806642,0.9678908562452229,0.9478747203579418,0
ECFP4,random,tr,2080,0.9758281110116384,0.9437229437229437,0.9468503937007874,0.9446782922429344,0.873513515732838,0.9949033995984111,0.9885835293315608,1
ECFP4,random,va,2080,0.9459459459459459,0.9459459459459459,0.8666666666666667,0.9230769230769231,0.8126126126126126,0.9747588358952587,0.9512387387387388,1
ECFP4,random,te,2080,0.9060402684563759,0.8766233766233766,0.7454545454545455,0.8421052631578947,0.6055050004161179,0.9687419393278597,0.9200708382526565,1
ECFP4,random,tr,2080,0.974910394265233,0.9436253252385083,0.9450980392156862,0.9440769693325316,0.8722491986135035,0.9947754233779602,0.9884342635579817,2
ECFP4,random,va,2080,0.9533333333333334,0.910828025477707,0.8627450980392157,0.8990384615384616,0.7421243139553219,0.9798433186544295,0.9530410890470837,2
ECFP4,random,te,2080,0.9477611940298507,0.8639455782312925,0.8870967741935484,0.8708133971291866,0.7152138393896827,0.9702704247504275,0.9495281983761247,2
ECFP4,random,tr,2080,0.9708480565371025,0.944969905417025,0.934,0.94167167769092,0.8645266617189438,0.9952261033615847,0.9890670679277729,3
ECFP4,random,va,2080,0.9236111111111112,0.9300699300699301,0.8307692307692308,0.8990384615384616,0.7640931774583409,0.9691222182147173,0.9499731038192577,3
ECFP4,random,te,2080,0.9440559440559441,0.8940397350993378,0.8620689655172413,0.8851674641148325,0.7283610603486057,0.9865366206488877,0.96494633477963,3
ECFP4,random,tr,2080,0.974267968056788,0.9328802039082413,0.9403292181069959,0.9350571256764882,0.8497289725853414,0.9949405053757743,0.9880214397348354,4
ECFP4,random,va,2080,0.9541984732824428,0.8865248226950354,0.9104477611940298,0.8942307692307693,0.7712751325167564,0.9865956677794542,0.9719487668042764,4
ECFP4,random,te,2080,0.8943661971830986,0.9136690647482014,0.7857142857142857,0.8708133971291866,0.7072779778073375,0.9683965833322383,0.9483556012332992,4
ECFP4,random,tr,2080,0.9761904761904762,0.9221453287197232,0.9487179487179487,0.9302465423932652,0.8443130482034772,0.9945543936432255,0.987711826812173,5
ECFP4,random,va,2080,0.9310344827586207,0.9,0.8275862068965517,0.8798076923076923,0.7100514323866912,0.965564985296093,0.9350574712643679,5
ECFP4,random,te,2080,0.9333333333333333,0.9271523178807947,0.8275862068965517,0.8995215311004785,0.7508053415359398,0.9651294474216054,0.9403402603334095,5
ECFP4,random,tr,2080,0.9796460176991151,0.9429301533219762,0.9529652351738241,0.9458809380637402,0.8746674257440106,0.9954917175734095,0.9893552533940908,6
ECFP4,random,va,2080,0.9104477611940298,0.8776978417266187,0.8260869565217391,0.8605769230769231,0.6921553311491011,0.9574943804332385,0.9321238661244917,6
ECFP4,random,te,2080,0.9629629629629629,0.9027777777777778,0.9230769230769231,0.9090909090909091,0.7993902103911161,0.9883729362685424,0.9726495726495726,6
ECFP4,random,tr,2080,0.9738503155996393,0.9262435677530018,0.9416498993963782,0.930847865303668,0.8428945261243243,0.9941271859294873,0.9865962498835208,7
ECFP4,random,va,2080,0.9383561643835616,0.9013157894736842,0.8392857142857143,0.8846153846153846,0.7181714302565722,0.962118748021346,0.9286889097744362,7
ECFP4,random,te,2080,0.924812030075188,0.8848920863309353,0.8571428571428571,0.8755980861244019,0.7280281310664701,0.9759491159288277,0.9563206577595067,7
ECFP4,random,tr,2080,0.9790145985401459,0.9306157849089333,0.9549019607843138,0.9380637402285027,0.861390750410982,0.9949996323053927,0.9889376392360933,8
ECFP4,random,va,2080,0.9375,0.8823529411764706,0.8363636363636363,0.8701923076923077,0.6867734371761149,0.9765761815484861,0.9462863933452169,8
ECFP4,random,te,2080,0.9328859060402684,0.9205298013245033,0.8275862068965517,0.8947368421052632,0.7404618008434444,0.9761704125870971,0.9477049554692852,8
ECFP4,random,tr,2080,0.975736568457539,0.9534292972057579,0.9429735234215886,0.9503588516746412,0.8828788741891609,0.9956945795678808,0.9898020421783464,9
ECFP4,random,va,2080,0.896774193548387,0.9652777777777778,0.7538461538461538,0.8995215311004785,0.760464486099751,0.9630529769867993,0.9381410256410256,9
ECFP4,random,te,2080,0.9596774193548387,0.9015151515151515,0.9253731343283582,0.9095477386934674,0.8063614036978107,0.9743645675502767,0.9605382180009046,9
